SSN,Psa asand,Psa asilt,Psa aclay,Psa c1clay,Psa c1silt,Psa c1sand,Psa c2clay,Psa c2silt,Psa c2sand,Psa c3clay,Psa c3silt,Psa c3sand,Psa c4clay,Psa c4silt,Psa c4sand,Psa w1clay,Psa w1silt,Psa w1sand,Psa w2clay,Psa w2silt,Psa w2sand,Psa w3clay,Psa w3silt,Psa w3sand,Psa w4clay,Psa w4silt,Psa w4sand,A brooks,B brooks,Alpha brooks,Wcvfri,Sucjkgi,Wcvfrsat,Wcvfrfc10,Wcvfrfc33,Wcvfrwp1500,Wcvfrairdry,Awc1,Awc2,Ksat,Volfr,Lshrinkpct,Plwcgpct,Llwcgpct,Piwcgpct,Total nitrogen,Total carbon,Acidified nitrogen,Acidified carbon
icr006455,91.6,7.805333333,0.595,9.122,31.739,59.139,38.96,15.746,45.293,42.472,8.719,48.809,43.951,7.875,48.174,5.412,19.411,75.176,23.256,28.928,47.816,26.209,16.536,57.255,31.848,14.436,53.717,0.033228,6.396061,-0.156346,0.365029,0.053775,0.393565,0.161255,0.133796,0.07367,0.020991,0.087585,0.060127,27.402386,1.1205,6.857143,17.220824,24.197223,6.976399,0.060488174,0.88370798,0.048853811,0.788849115
icr006474,97.733,2.014333333,0.252666667,8.454,7.241,84.305,3.235,1.478,95.287,2.256,1.493,96.251,2.006,1.453,96.541,5.619,8.019,86.362,5.28,4.026,90.694,5.869,2.722,91.409,6.089,2.495,91.415,0.00165,3.499586,-0.285748,0.255747,0.002633,0.292287,0.024263,0.01725,0.005796,0.003022,0.018467,0.011454,27.767613,1.145,2.857143,12.449379,18.569988,6.12061,0.040729359,0.598560651,0.025910654,0.549697042
icr006475,97.84866667,1.845333333,0.306,19.625,11.304,69.071,11.906,2.328,85.766,10.695,2.249,87.056,10.009,2.209,87.782,5.639,11.191,83.171,11.83,10.553,77.617,14.726,8.14,77.134,16.551,6.933,76.516,0.001134,5.112783,-0.195588,0.30133,0.001828,0.330798,0.055966,0.04431,0.021004,0.002476,0.034962,0.023306,35.537729,1.0885,5,12.099363,15.135918,3.036555,0.041521359,0.453125358,0.039282719,0.429812849
icr006492,92.5,6.893333333,0.606333333,7.226,16.174,76.6,10.629,6.373,82.998,10.677,5.503,83.82,9.551,5.08,85.37,5.115,10.108,84.777,11.363,11.447,77.191,12.427,8.175,79.398,13.704,7.351,78.945,0.051929,4.9746,-0.201021,0.271901,0.083623,0.29923,0.103933,0.081756,0.037959,0.003499,0.065974,0.043797,14.607661,1.188,2.857143,12.976327,16.594244,3.617917,0.08068077,0.925215205,0.07192195,0.893203477
icr006493,91.19633333,8.215333333,0.588333333,11.31,47.963,40.727,43.474,18.376,38.15,43.807,14.689,41.504,43.385,14.541,42.074,5.29,36.437,58.272,16.565,39.969,43.466,23.097,28.885,48.019,33.851,28.611,37.538,0.022515,7.802385,-0.128166,0.38591,0.036555,0.41064,0.187992,0.161318,0.09891,0.020351,0.089082,0.062409,25.033672,1.1595,3.571429,14.562733,18.116578,3.553845,0.043240161,0.544098993,0.040047446,0.564716776
icr006510,94.27433333,5.276,0.449666667,5.858,10.477,83.665,5.995,4.029,89.976,5.28,2.898,91.822,4.979,2.751,92.271,4.489,8.312,87.199,4.545,5.54,89.915,5.15,4.1,90.75,5.735,3.384,90.882,0.004958,3.57513,-0.27971,0.255428,0.007918,0.29115,0.034656,0.024816,0.008533,0.001492,0.026123,0.016284,25.183905,1.054,2.857143,12.681732,14.821627,2.139895,0.086052254,0.931660553,0.093854206,0.934304357
icr006511,97.36666667,2.218,0.415333333,28.01,33.72,38.27,52.533,8.437,39.031,49.105,8.03,42.866,45.131,7.9,46.969,7.007,32.985,60.008,18.351,39.114,42.536,29.597,35.458,34.945,30.8,25.442,43.758,0.009606,2.972981,-0.336363,0.215383,0.015249,0.251607,0.024309,0.016269,0.004506,0.001185,0.019803,0.011763,15.463005,1.0295,3.571429,13.005362,18.95045,5.945088,0.041624534,0.430622886,0.040932406,0.428752204
icr006530,93.77366667,5.464,0.762333333,15.764,38.273,45.963,53.028,20.588,26.385,50.464,13.066,36.47,49.616,11.722,38.662,6.558,27.081,66.361,22.152,31.743,46.105,25.481,22.155,52.364,37.118,22.318,40.563,0.000809,11.010041,-0.090826,0.338178,0.001319,0.353536,0.150235,0.134796,0.095307,0.017072,0.054928,0.039489,17.594979,1.0935,3.571429,34.988586,21.186204,-13.802382,0.07258634,0.752180239,0.070385481,0.773557146
icr006531,96.55066667,3.136333333,0.313,17.582,42.743,39.674,49.671,19.77,30.559,53.694,13.821,32.486,56.697,9.921,33.382,6.69,33.498,59.812,21.534,38.47,39.995,32.857,35.979,31.165,39.824,30.973,29.203,0.010053,3.146358,-0.317828,0.270279,0.01599,0.31323,0.034923,0.023896,0.007104,0.00352,0.027819,0.016792,31.519213,1.0735,5.714286,14.337166,16.890516,2.55335,0.047431375,0.475303104,0.04466242,0.482543161
icr006550,95.59133333,3.771333333,0.637333333,13.312,15.416,71.272,26.795,7.249,65.955,24.874,4.707,70.419,22.478,4.096,73.426,5.799,8.906,85.295,29.027,12.789,58.184,32.907,7.175,59.918,33.899,5.801,60.3,0.007374,5.725338,-0.174662,0.348493,0.01191,0.378928,0.107515,0.087278,0.044811,0.007929,0.062703,0.042466,38.607872,1.097,7.142857,14.880998,22.293378,7.412379,0.077213007,0.852792561,0.079703669,0.862667064
icr006551,93.30633333,6.267666667,0.425666667,6.753,16.815,76.432,27.136,6.308,66.556,25.547,2.912,71.541,25.389,2.427,72.184,8.15,15.233,76.617,29.171,22.448,48.381,25.544,9.822,64.634,29.411,7.212,63.377,0.022514,4.883911,-0.204754,0.324104,0.036239,0.357285,0.102546,0.080306,0.036758,0.007996,0.065788,0.043548,31.530821,1.123,7.142857,15.355965,22.170772,6.814807,0.054694685,0.617005189,0.052367137,0.574352364
icr006570,97.78966667,1.885,0.325666667,11.841,28.114,60.045,39.588,8.952,51.46,35.688,6.762,57.55,32.862,6.482,60.656,5.39,22.227,72.383,17.623,27.069,55.308,25.783,20.003,54.214,31.581,16.475,51.945,1.00E-06,13.883976,-0.072025,0.332018,2.00E-06,0.343975,0.109225,0.100225,0.076136,0.017024,0.033089,0.024089,25.248432,1.142,0.714286,-2.782976,19.09605,21.879026,0.04033243,0.560304503,0.037773812,0.527139922
icr006571,96.76,2.92,0.320333333,12.951,35.326,51.723,31.345,9.919,58.735,27.13,6.202,66.668,25.164,5.594,69.242,6.393,24.271,69.336,17.268,25.994,56.738,23.673,19.375,56.953,28.494,15.693,55.813,0.002517,3.367301,-0.296974,0.257337,0.004012,0.295548,0.025223,0.017693,0.005696,0.001971,0.019527,0.011998,28.303348,1.111,3.571429,13.783241,18.282093,4.498852,0.043959312,0.574421426,0.037719385,0.544650733
icr006586,89.52,9.553666667,0.926333333,12.768,20.557,66.675,14.102,7.555,78.343,12.314,5.326,82.36,13.333,5.029,81.638,9.165,14.926,75.908,21.215,17.301,61.484,16.935,8.036,75.029,17.247,6.857,75.896,0.003265,5.003567,-0.199857,0.304861,0.005259,0.335325,0.067414,0.053103,0.024765,0.005037,0.042649,0.028338,33.691971,1.024,7.142857,17.636384,27.336299,9.699915,0.082718246,0.89146481,0.085946908,0.912363748
icr006587,94.748,4.349666667,0.902333333,30.271,29.515,40.213,80.161,12.716,7.124,71.229,10.048,18.723,70.521,9.883,19.595,10.837,23.102,66.062,60.649,29.202,10.148,75.079,16.255,8.666,76.524,14.75,8.726,0.025558,8.578705,-0.116568,0.517951,0.041551,0.548139,0.273333,0.237821,0.152416,0.033047,0.120917,0.085405,50.32,0.971964,7.142857,21.880498,31.844692,9.964194,0.109610155,0.764568388,0.09967004,0.751836479
icr006606,96.71766667,2.875333333,0.406666667,29.046,25.275,45.679,29.82,7.552,62.628,28.434,5.382,66.183,26.851,5.004,68.145,6.079,18.005,75.916,16.352,21.753,61.895,21.658,18.045,60.296,24.044,14.725,61.231,0,19.545141,-0.051164,0.294,0,0.301521,0.102725,0.096637,0.079495,0.014823,0.02323,0.017143,15.305702,1.088,3.571429,13.228092,16.195878,2.967787,0.073158681,0.593879044,0.061317471,0.590222696
icr006607,95.57566667,3.829,0.595666667,35.437,32.413,32.149,59.197,7.06,33.743,47.131,6.699,46.17,54.806,6.351,38.842,5.056,24.823,70.121,15.758,31.846,52.395,22.41,32.358,45.231,27.751,29.664,42.585,0,32.518024,-0.030752,0.262364,0,0.266398,0.116611,0.112407,0.099959,0.012235,0.016652,0.012449,6.653571,1.0965,5,13.632089,19.997909,6.36582,0.061518307,0.399995059,0.04701028,0.380768607
icr006626,99.386,0.464,0.15,11.887,14.204,73.91,9.005,4.177,86.818,8.365,3.933,87.702,7.594,3.634,88.772,8.67,12.838,78.492,15.881,12.323,71.796,10.517,5.34,84.143,10.42,4.449,85.131,0.003603,4.254469,-0.235047,0.294462,0.00578,0.329068,0.051042,0.038553,0.01572,0.002355,0.035322,0.022833,35.390384,1.1275,0.714286,13.117232,13.280886,0.163654,0.05359711,0.453769177,0.045558811,0.454935551
icr006627,95.71366667,3.829,0.457333333,25.65,38.224,36.126,46.822,11.464,41.715,46.068,9.465,44.467,47.063,9.616,43.321,4.78,27.553,67.667,14.305,31.522,54.172,23.132,28.744,48.124,24.005,19.247,56.748,0.00439,3.412288,-0.293058,0.292283,0.007001,0.335111,0.034773,0.024507,0.008008,0.001651,0.026765,0.016499,41.054712,1.141,4.928571,12.019303,16.638027,4.618724,0.063998638,0.463206808,0.05275261,0.457810541
icr006646,98.10433333,1.39,0.505666667,22.108,15.058,62.834,16.09,4.15,79.76,15.741,3.585,80.674,14.861,3.215,81.923,7.539,13.604,78.858,11.747,11.371,76.882,12.471,8.88,78.649,15.508,8.433,76.059,0.005421,4.998631,-0.200055,0.323146,0.00873,0.355469,0.078965,0.062188,0.02898,0.002828,0.049985,0.033208,38.092505,1.1075,6,14.66717,18.63103,3.96386,0.07014447,0.726723452,0.059419634,0.719923476
icr006647,92.22633333,6.706,1.067666667,17.908,7.48,74.612,4.72,1.004,94.276,3.521,0.902,95.577,3.25,1.067,95.683,6.938,11.882,81.18,5.944,6.123,87.933,7.19,5.66,87.15,7.006,4.648,88.345,0.00458,3.759595,-0.265986,0.267329,0.007324,0.302882,0.039184,0.028523,0.010335,0.002063,0.028849,0.018188,28.256479,1.0935,5,13.647294,19.462926,5.815633,0.050267606,0.469803333,0.037660692,0.46734949
icr006666,88.335,10.30933333,1.355,10.562,8.801,80.636,12.515,3.275,84.209,10.547,1.939,87.514,9.953,1.909,88.137,7.18,15.127,77.693,7.678,11.79,80.533,9.726,14.014,76.259,9.337,10.182,80.482,0.001941,5.284911,-0.189218,0.314525,0.003129,0.344282,0.068316,0.054502,0.026471,0.002785,0.041845,0.028031,37.151658,1.168,7.214286,12.785612,18.713368,5.927756,0.056980527,0.596927265,0.049373159,0.620657146
icr006667,91.663,7.001333333,1.335666667,16.08,9.518,74.403,7.284,1.642,91.074,6.063,1.06,92.877,5.201,0.694,94.105,6.26,13.073,80.668,5.749,9.897,84.354,6.585,8.758,84.657,7.044,7.692,85.263,0.000381,5.317706,-0.188051,0.269466,0.000615,0.294802,0.043512,0.034762,0.016959,0.00158,0.026554,0.017803,26.343735,1.149,2.857143,-4.246184,18.468647,22.714831,0.034039249,0.440038512,0.038357372,0.381904831
icr006684,99.07333333,0.657666667,0.269,10.955,9.208,79.836,6.169,1.881,91.95,5.03,1.883,93.087,4.426,1.926,93.648,9.269,9.571,81.16,6.402,3.952,89.646,6.7,2.492,90.808,6.599,2.154,91.247,0.007357,3.529588,-0.283319,0.265838,0.011743,0.303497,0.039303,0.028024,0.009504,0.002246,0.0298,0.01852,28,1.086,7.214286,13.494314,16.422483,2.928169,0.080756016,0.771425168,0.061171785,0.730446259
icr006685,98.825,0.777333333,0.397666667,15.209,27.972,56.818,39.578,14.714,45.707,36.414,11.483,52.103,36.343,10.715,52.942,5.509,20.797,73.695,22.202,25.136,52.663,35.952,22.146,41.903,44.48,18.951,36.568,,,,,,,,,,,,,,,,,,,0.062955617,0.632139822,0.047057182,0.623040358
icr006704,97.92133333,1.764333333,0.314,16.886,35.414,47.7,59.053,12.573,28.374,60.352,8.831,30.817,58.364,8.548,33.088,6.963,28.821,64.216,25.478,32.539,41.982,37.433,23.487,39.081,43.922,19.307,36.772,0.01013,3.230638,-0.309536,0.292624,0.016126,0.337913,0.039989,0.027634,0.008479,0.00188,0.031509,0.019154,40.132182,1.1535,0.714286,12.790985,15.582233,2.791249,0.056628985,0.637213349,0.033785847,0.56792597
icr006705,97.93033333,1.51,0.56,11.276,38.439,50.285,43.672,17.109,39.218,43.72,14.068,42.212,42.299,14.073,43.628,5.751,26.055,68.193,19.593,26.769,53.638,27.155,17.409,55.436,30.369,14.03,55.601,0.001297,5.443983,-0.183689,0.25533,0.002092,0.278781,0.053855,0.04325,0.021454,0.005074,0.032402,0.021796,19.335451,1.4295,3.571429,13.333392,18.963839,5.630447,0.065934372,0.460546225,0.041922908,0.441853424
